#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         NSSDC
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data
#     DATA_TYPE                       HRO>Definitive 5minute
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux
#     DATA_VERSION                    1
#     TITLE                           Near-Earth Heliosphere Data (OMNI)
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    
#     MODS                            created November 2006;
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000
#                                     Time tags in CDAWeb version were modified in March 2005 to use the
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's
#                                     original convention of start-of-average time tags.
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01
#     PI_NAME                         J.H. King, N. Papatashvilli
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC
#     GENERATION_DATE                 Ongoing
#     ACKNOWLEDGEMENT                 NSSDC
#     ADID_REF                        NSSD0110
#     RULES_OF_USE                    Public
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#                                     Magnetic Fields (space)
#                                     Electric Fields (space)
#     GENERATED_BY                    King/Papatashvilli
#     TIME_RESOLUTION                 5 minute
#     LOGICAL_SOURCE                  omni_hro_5min
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             
#     LINK_TEXT                       Additional information for all parameters are available from
#                                     Additional data access options available at
#                                     Recent omni high resolution updates
#     LINK_TITLE                      OMNI Data documentation
#                                     SPDF's OMNIWeb Service
#                                     Release Notes
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
#                                     ACE
#                                     Wind
#                                     IMP (All)
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M
#     CDAWEB_PARENTS                  omni_hro_5min_00000000_v01
#                                     omni_hro_5min_19931201_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch Time
#  2. AE - 5-minute AE-index, from WDC Kyoto (Final 1988/001-1988/182, Provisional 1990/001-2018/059)
#  3. SYM/H - 5-minute SYM/H index,from WDC Kyoto (1981/001-2020/213)
#
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,5-M_AE_nT,SYM/H_INDEX_nT
1993-12-07T06:15:00.000Z,94,-10
1993-12-07T06:20:00.000Z,88,-9
1993-12-07T06:25:00.000Z,69,-9
1993-12-07T06:30:00.000Z,62,-8
1993-12-07T06:35:00.000Z,82,-7
1993-12-07T06:40:00.000Z,73,-6
1993-12-07T06:45:00.000Z,67,-6
1993-12-07T06:50:00.000Z,66,-6
1993-12-07T06:55:00.000Z,62,-6
1993-12-07T07:00:00.000Z,51,-6
1993-12-07T07:05:00.000Z,44,-6
1993-12-07T07:10:00.000Z,51,-7
1993-12-07T07:15:00.000Z,44,-8
1993-12-07T07:20:00.000Z,53,-8
1993-12-07T07:25:00.000Z,49,-7
1993-12-07T07:30:00.000Z,29,-7
1993-12-07T07:35:00.000Z,42,-6
1993-12-07T07:40:00.000Z,65,-7
1993-12-07T07:45:00.000Z,66,-7
1993-12-07T07:50:00.000Z,80,-6
1993-12-07T07:55:00.000Z,81,-6
1993-12-07T08:00:00.000Z,71,-6
1993-12-07T08:05:00.000Z,72,-6
1993-12-07T08:10:00.000Z,81,-7
1993-12-07T08:15:00.000Z,80,-6
1993-12-07T08:20:00.000Z,89,-6
1993-12-07T08:25:00.000Z,94,-5
1993-12-07T08:30:00.000Z,123,-6
1993-12-07T08:35:00.000Z,115,-6
1993-12-07T08:40:00.000Z,116,-7
1993-12-07T08:45:00.000Z,127,-7
1993-12-07T08:50:00.000Z,109,-8
1993-12-07T08:55:00.000Z,100,-8
1993-12-07T09:00:00.000Z,88,-8
1993-12-07T09:05:00.000Z,87,-9
1993-12-07T09:10:00.000Z,81,-9
1993-12-07T09:15:00.000Z,115,-10
1993-12-07T09:20:00.000Z,98,-9
1993-12-07T09:25:00.000Z,124,-10
1993-12-07T09:30:00.000Z,140,-10
1993-12-07T09:35:00.000Z,152,-10
1993-12-07T09:40:00.000Z,105,-10
1993-12-07T09:45:00.000Z,155,-11
1993-12-07T09:50:00.000Z,210,-11
1993-12-07T09:55:00.000Z,227,-11
1993-12-07T10:00:00.000Z,234,-10
1993-12-07T10:05:00.000Z,202,-10
1993-12-07T10:10:00.000Z,214,-10
1993-12-07T10:15:00.000Z,221,-10
1993-12-07T10:20:00.000Z,225,-10
1993-12-07T10:25:00.000Z,215,-9
1993-12-07T10:30:00.000Z,228,-8
1993-12-07T10:35:00.000Z,204,-9
1993-12-07T10:40:00.000Z,180,-10
1993-12-07T10:45:00.000Z,178,-10
1993-12-07T10:50:00.000Z,196,-10
1993-12-07T10:55:00.000Z,208,-10
1993-12-07T11:00:00.000Z,216,-10
1993-12-07T11:05:00.000Z,205,-10
1993-12-07T11:10:00.000Z,195,-9
1993-12-07T11:15:00.000Z,184,-9
1993-12-07T11:20:00.000Z,185,-10
1993-12-07T11:25:00.000Z,199,-11
1993-12-07T11:30:00.000Z,192,-11
1993-12-07T11:35:00.000Z,166,-11
1993-12-07T11:40:00.000Z,206,-11
1993-12-07T11:45:00.000Z,233,-11
1993-12-07T11:50:00.000Z,212,-11
1993-12-07T11:55:00.000Z,220,-11
1993-12-07T12:00:00.000Z,223,-6
1993-12-07T12:05:00.000Z,285,3
1993-12-07T12:10:00.000Z,361,4
1993-12-07T12:15:00.000Z,441,4
1993-12-07T12:20:00.000Z,409,4
1993-12-07T12:25:00.000Z,443,3
1993-12-07T12:30:00.000Z,710,5
1993-12-07T12:35:00.000Z,905,4
1993-12-07T12:40:00.000Z,660,-1
1993-12-07T12:45:00.000Z,654,-2
1993-12-07T12:50:00.000Z,620,-5
1993-12-07T12:55:00.000Z,780,-7
1993-12-07T13:00:00.000Z,911,-8
1993-12-07T13:05:00.000Z,852,-7
1993-12-07T13:10:00.000Z,882,-11
1993-12-07T13:15:00.000Z,693,-16
1993-12-07T13:20:00.000Z,809,-14
1993-12-07T13:25:00.000Z,822,-14
1993-12-07T13:30:00.000Z,909,-17
1993-12-07T13:35:00.000Z,916,-16
1993-12-07T13:40:00.000Z,925,-15
1993-12-07T13:45:00.000Z,1032,-13
1993-12-07T13:50:00.000Z,1228,-12
1993-12-07T13:55:00.000Z,1505,-14
1993-12-07T14:00:00.000Z,1663,-17
1993-12-07T14:05:00.000Z,1504,-19
1993-12-07T14:10:00.000Z,1458,-21
1993-12-07T14:15:00.000Z,1419,-23
1993-12-07T14:20:00.000Z,1261,-24
1993-12-07T14:25:00.000Z,1283,-25
1993-12-07T14:30:00.000Z,1184,-26
1993-12-07T14:35:00.000Z,1049,-29
1993-12-07T14:40:00.000Z,1093,-32
1993-12-07T14:45:00.000Z,1296,-35
1993-12-07T14:50:00.000Z,1358,-37
1993-12-07T14:55:00.000Z,997,-39
1993-12-07T15:00:00.000Z,1168,-40
1993-12-07T15:05:00.000Z,1188,-40
1993-12-07T15:10:00.000Z,1161,-38
1993-12-07T15:15:00.000Z,1015,-35
1993-12-07T15:20:00.000Z,853,-35
1993-12-07T15:25:00.000Z,867,-33
1993-12-07T15:30:00.000Z,943,-33
1993-12-07T15:35:00.000Z,914,-33
1993-12-07T15:40:00.000Z,840,-33
1993-12-07T15:45:00.000Z,801,-33
1993-12-07T15:50:00.000Z,1025,-33
1993-12-07T15:55:00.000Z,1023,-32
1993-12-07T16:00:00.000Z,851,-30
1993-12-07T16:05:00.000Z,741,-30
1993-12-07T16:10:00.000Z,729,-31
1993-12-07T16:15:00.000Z,735,-31
1993-12-07T16:20:00.000Z,671,-29
1993-12-07T16:25:00.000Z,733,-29
1993-12-07T16:30:00.000Z,583,-30
1993-12-07T16:35:00.000Z,517,-29
1993-12-07T16:40:00.000Z,467,-29
1993-12-07T16:45:00.000Z,454,-29
1993-12-07T16:50:00.000Z,411,-28
1993-12-07T16:55:00.000Z,306,-26
1993-12-07T17:00:00.000Z,271,-26
1993-12-07T17:05:00.000Z,228,-26
1993-12-07T17:10:00.000Z,203,-24
1993-12-07T17:15:00.000Z,187,-23
1993-12-07T17:20:00.000Z,178,-22
1993-12-07T17:25:00.000Z,164,-21
1993-12-07T17:30:00.000Z,178,-21
1993-12-07T17:35:00.000Z,168,-21
1993-12-07T17:40:00.000Z,156,-21
1993-12-07T17:45:00.000Z,153,-22
1993-12-07T17:50:00.000Z,151,-22
1993-12-07T17:55:00.000Z,149,-23
1993-12-07T18:00:00.000Z,144,-23
1993-12-07T18:05:00.000Z,150,-25
1993-12-07T18:10:00.000Z,133,-23
1993-12-07T18:15:00.000Z,157,-23
1993-12-07T18:20:00.000Z,189,-23
1993-12-07T18:25:00.000Z,138,-23
1993-12-07T18:30:00.000Z,184,-22
1993-12-07T18:35:00.000Z,180,-21
1993-12-07T18:40:00.000Z,300,-21
1993-12-07T18:45:00.000Z,360,-22
1993-12-07T18:50:00.000Z,333,-24
1993-12-07T18:55:00.000Z,340,-25
1993-12-07T19:00:00.000Z,377,-26
1993-12-07T19:05:00.000Z,355,-27
1993-12-07T19:10:00.000Z,387,-27
1993-12-07T19:15:00.000Z,430,-29
1993-12-07T19:20:00.000Z,346,-29
1993-12-07T19:25:00.000Z,254,-29
1993-12-07T19:30:00.000Z,206,-31
1993-12-07T19:35:00.000Z,332,-33
1993-12-07T19:40:00.000Z,418,-34
1993-12-07T19:45:00.000Z,427,-37
1993-12-07T19:50:00.000Z,350,-40
1993-12-07T19:55:00.000Z,451,-43
1993-12-07T20:00:00.000Z,548,-43
1993-12-07T20:05:00.000Z,587,-43
1993-12-07T20:10:00.000Z,627,-43
1993-12-07T20:15:00.000Z,657,-45
1993-12-07T20:20:00.000Z,629,-46
1993-12-07T20:25:00.000Z,575,-46
1993-12-07T20:30:00.000Z,455,-46
1993-12-07T20:35:00.000Z,523,-44
1993-12-07T20:40:00.000Z,564,-45
1993-12-07T20:45:00.000Z,620,-48
1993-12-07T20:50:00.000Z,695,-51
